"fastner_type_exp_id","fastner_type_exp_name","fastner_type_id","fastner_type_name"
1,AN173,7,AN173-AN186
2,AN174,7,AN173-AN186
3,AN175,7,AN173-AN186
4,AN176,7,AN173-AN186
5,AN177,7,AN173-AN186
6,AN178,7,AN173-AN186
7,AN179,7,AN173-AN186
8,AN180,7,AN173-AN186
9,AN181,7,AN173-AN186
10,AN182,7,AN173-AN186
11,AN183,7,AN173-AN186
12,AN184,7,AN173-AN186
13,AN185,7,AN173-AN186
14,AN186,7,AN173-AN186
15,AN3,8,AN3-AN16
16,AN4,8,AN3-AN16
17,AN5,8,AN3-AN16
18,AN6,8,AN3-AN16
19,AN7,8,AN3-AN16
20,AN8,8,AN3-AN16
21,AN9,8,AN3-AN16
22,AN10,8,AN3-AN16
23,AN11,8,AN3-AN16
24,AN12,8,AN3-AN16
25,AN13,8,AN3-AN16
26,AN14,8,AN3-AN16
27,AN15,8,AN3-AN16
28,AN16,8,AN3-AN16
